Family	CName	SName	Status04	Range	Mass	Clutch	ElevRange
Phasianidae	Orange_River_Francolin	Francolinus_levaillantoides	1_(LC)	1971722	449	6.5	NA
Phasianidae	Nahan's_Francolin	Francolinus_nahani	4_(EN)	124405	310	4	1400
Phasianidae	Natal_Francolin	Francolinus_natalensis	1_(LC)	1338168	606	5	1800
Phasianidae	Handsome_Francolin	Francolinus_nobilis	1_(LC)	123920	878.5	NA	2900
Phasianidae	Djibouti_Francolin	Francolinus_ochropectus	5_(CR)	8903	940	NA	800
Phasianidae	Painted_Francolin	Francolinus_pictus	1_(LC)	1605388	291	5	1200
Phasianidae	Chinese_Francolin	Francolinus_pintadeanus	1_(LC)	2667395	367.5	4.5	1500
Phasianidae	Grey_Francolin	Francolinus_pondicerianus	1_(LC)	3190820	274	7.5	NA
Phasianidae	Grey-breasted_Spurfowl	Francolinus_rufopictus	1_(LC)	51092	848	4.5	NA
Phasianidae	Schlegel's_Francolin	Francolinus_schlegelii	1_(LC)	730652	251	3.5	NA
Phasianidae	Crested_Francolin	Francolinus_sephaena	1_(LC)	4719971	245	6	2200
Phasianidae	Shelley's_Francolin	Francolinus_shelleyi	1_(LC)	1397998	488	4.5	3000
Phasianidae	Scaly_Francolin	Francolinus_squamatus	1_(LC)	2629215	468.5	6	2200
Phasianidae	Ring-necked_Francolin	Francolinus_streptophorus	1_(LC)	293678	385	4.5	1200
Phasianidae	Swainson's_Spurfowl	Francolinus_swainsonii	1_(LC)	1532560	706	6	NA
Phasianidae	Swierstra's_Francolin	Francolinus_swierstrai	3_(VU)	68339	600	NA	700
Phasianidae	Ceylon_Spurfowl	Galloperdix_bica1_(LC)arata	1_(LC)	61398	340	2	1500
Phasianidae	Painted_Spurfowl	Galloperdix_lunulata	1_(LC)	1257463	270	3.5	900
Phasianidae	Red_Spurfowl	Galloperdix_spadicea	1_(LC)	61398	369	3.5	2300
Phasianidae	Red_Junglefowl	Gallus_gallus	1_(LC)	3506043	844	5.5	2000
Phasianidae	Sri_Lanka_Junglefowl	Gallus_lafayetii	1_(LC)	61101	965	2	2000
Phasianidae	Grey_Junglefowl	Gallus_sonneratii	1_(LC)	992742	963	4.5	1500
Phasianidae	Green_Junglefowl	Gallus_varius	1_(LC)	165764	620	3.5	2000
Numididae	Plumed_Guineafowl	Guttera_plumifera	1_(LC)	767824	1050	9.5	NA
Numididae	Crested_Guineafowl	Guttera_pucherani	1_(LC)	4047739	1149	4.5	NA
Phasianidae	Crimson-headed_Partridge	Haematortyx_sanguiniceps	1_(LC)	155201	300	8.5	500
Phasianidae	Blood_Pheasant	Ithaginis_cruentus	1_(LC)	1180040	560	4.5	1650
Tetraonidae	Willow_Ptarmigan	Lagopus_lagopus	1_(LC)	25165520	601	9.5	2439
Tetraonidae	White-tailed_Ptarmigan	Lagopus_leucurus	1_(LC)	1625974	359	5.5	4175
