# >> Output from NodeLinkage.pl <<
# >> Input file 1: "-Z-WMarkov-NormPairs_Real_Taxons_FunGroups.resampled.byabundance.dat
# >> Input file 2: "-Z-WMarkov-NormPairs_Real_Taxons_FunGroups.resampled.byabundance.dat
# >> Clustering of nodes with the Average Linkage method
# >> Recovering classification at step: 213
# >> Running at date:  (mm,dd,yy) 7, 5, 2016, and time: 22:41:54,
# >> Silwood Park, Imperial College London, A.P-G.
# 
# >>1Node,  2ClusterId
# Partitions at Step/Threshold: 213 0.270629802455021
"aurantimonas.altamirensis"	71
"aurantimonas"	71
"azospirillum.doebereinerae"	72
"chitinophagaceae"	73
"enterobacter"	74
"arcobacter.spp."	74
"acidovorax.konjaci"	75
"hylemonella.spp."	75
"variovorax.spp."	75
"candidatus.burkholderia.kirkii"	76
"aquitalea.magnusonii"	76
"novosphingobium.spp."	77
"novosphingobium.capsulatum"	77
"lautropia.spp."	78
"gammaproteobacteria"	78
"phenylobacterium"	79
"stenotrophomonas.maltophilia"	79
"sphingomonas.faeni"	80
"ferruginibacter"	81
"cellulomonas.terrae"	81
"pectobacterium.bev.proteobacterium"	82
"phenylobacterium.spp."	83
"burkholderia.andropogonis"	84
"curvibacter.spp."	85
"veillonella.spp."	86
"flavobacterium.spp."	87
"rhizobiaceae"	87
"pedobacter.steynii"	88
"pseudomonas.stutzeri"	89
"sphingomonas"	90
"serratia.quinivorans"	91
"flavobacterium.succinicans"	92
"clostridium.intestinale"	93
"rhodobium"	93
"corynebacteriales.spp."	94
"luteibacter.rhizovicinus"	95
"frateuria.soli"	95
"anaerosporobacter"	96
"anaerostipes.spp."	96
"coprococcus"	96
"mucilaginibacter"	97
"elusimicrobiales"	97
"deinococcus.spp."	98
"pseudomonas.veronii"	99
"prevotella.melaninogenica"	100
"pseudomonas.lutea"	101
"nocardioides.furvisabuli"	102
"nocardioides.kribbensis"	102
"paenibacillus.glycanilyticus"	103
"meganema"	104
"rickettsiella.melolonthae"	105
"rickettsiella.spp."	105
"caenimonas.spp."	106
"leptothrix.spp."	106
"delftia.lacustris"	106
"paenibacillus.xinjiangensis"	107
"aquicella"	108
"bdellovibrio"	109
"bdellovibrionaceae"	109
"limnohabitans.curvus"	110
"pleomorphomonas"	111
"vogesella.spp."	111
"staphylococcus.epidermidis"	112
"clostridia"	113
"bacteroidales"	113
"dyadobacter.spp."	114
"paenibacillus.kobensis"	114
"sphingobacterium.siyangensis"	115
"smithella.spp."	116
"rhizobium.spp."	117
"achromobacter.xylosoxidans"	117
"rhodovulum.spp."	118
"chthoniobacter"	119
"polaromonas"	120
"acidiphilium"	120
"pseudomonas.alcaligenes"	121
"azospirillum.sp."	121
"myroides.salibacter.luridus"	122
"acidimicrobiales"	123
"dysgonomonas.mossii"	124
"pseudoxanthomonas.spp."	124
"rhizobium.leguminosarum"	125
"rhizobium.giardinii"	125
"aquabacterium.spp."	126
"pseudomonas.balearica"	126
"phyllobacterium.trifolii"	127
"rhodospirillales"	128
"streptomyces.yanglinensis"	129
"agromyces.neoliticus"	130
"leifsonia.spp."	130
"pseudoclavibacter.spp."	130
"dermatophilus.spp."	131
"chthoniobacteraceae"	132
"sejongia.spp."	133
"acidimicrobiales.spp."	134
"sphingomonas.aestuarii"	135
"streptomyces.xanthochromogenes"	136
"streptomyces.olivoviridis"	136
"methylobacterium"	136
"porphyromonadaceae"	137
"deltaproteobacteria"	138
"cryocola.spp."	139
"achromobacter.spp."	140
"nitratireductor.spp."	141
"thioclava.spp."	141
"acinetobacter.calcoaceticus"	142
"acinetobacter.johnsonii"	142
"bacillus.niacini"	143
"paenibacillus.chondroitinus"	144
"stenotrophomonas.chelatiphaga"	145
"klebsiella.pneumoniae"	146
"dokdonella.spp."	147
"cohnella.cohnia.thermotolerans"	148
"frigoribacterium.spp."	149
"acinetobacter.spp."	150
"acinetobacter.junii"	150
"candidatus_chloracidobacterium"	151
"comamonas.spp."	152
"chryseobacterium.sp."	153
"blastochloris"	154
"streptomyces.viridochromogenes"	155
"pseudomonas.oryzihabitans"	156
"asticcacaulis.biprosthecium"	157
